StanFunction;Arguments;ReturnType;Documentation;
beta;~;real;Increment target log probability density with `beta_lupdf(theta | alpha, beta)`.;
beta_lpdf;(reals theta | reals alpha, reals beta);real;The log of the beta density of `theta` in $[0,1]$ given positive prior\nsuccesses (plus one) alpha and prior failures (plus one) beta\n;
beta_lupdf;(reals theta | reals alpha, reals beta);real;The log of the beta density of `theta` in $[0,1]$ given positive prior\nsuccesses (plus one) alpha and prior failures (plus one) beta\ndropping constant additive terms\n;
beta_cdf;(reals theta | reals alpha, reals beta);real;The beta cumulative distribution function of `theta` in $[0,1]$ given\npositive prior successes (plus one) alpha and prior failures (plus\none) beta\n;
beta_lcdf;(reals theta | reals alpha, reals beta);real;The log of the beta cumulative distribution function of `theta` in\n$[0,1]$ given positive prior successes (plus one) alpha and prior\nfailures (plus one) beta\n;
beta_lccdf;(reals theta | reals alpha, reals beta);real;The log of the beta complementary cumulative distribution function of\n`theta` in $[0,1]$ given positive prior successes (plus one) alpha and\nprior failures (plus one) beta\n;
beta_rng;(reals alpha, reals beta);R;Generate a beta variate with positive prior successes (plus one) alpha\nand prior failures (plus one) beta may only be used in transformed data and\ngenerated quantities blocks. For a description of argument and return types, see\nsection [vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
beta_proportion;~;real;Increment target log probability density with `beta_proportion_lupdf(theta | mu, kappa)`.;
beta_proportion_lcdf;(reals theta | reals mu, reals kappa);real;The log of the beta_proportion cumulative distribution function of\n`theta` in $(0,1)$ given mean mu and precision kappa\n;
beta_proportion_lccdf;(reals theta | reals mu, reals kappa);real;The log of the beta_proportion complementary cumulative distribution\nfunction of `theta` in $(0,1)$ given mean mu and precision kappa\n;
beta_proportion_rng;(reals mu, reals kappa);R;Generate a beta_proportion variate with mean mu and precision kappa\nmay only be used in transformed data and generated quantities blocks.\nFor a description of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
wishart;~;real;Increment target log probability density with `wishart_lupdf(W | nu, Sigma)`.;
wishart_lpdf;(matrix W | real nu, matrix Sigma);real;Return the log of the Wishart density for symmetric and positive-definite\nmatrix `W` given degrees of freedom `nu` and symmetric and\npositive-definite scale matrix `Sigma`.\n;
wishart_lupdf;(matrix W | real nu, matrix Sigma);real;Return the log of the Wishart density for symmetric and positive-definite\nmatrix `W` given degrees of freedom `nu` and symmetric and\npositive-definite scale matrix `Sigma` dropping constant additive terms.\n;
wishart_rng;(real nu, matrix Sigma);matrix;Generate a Wishart variate with degrees of freedom `nu` and symmetric\nand positive-definite scale matrix `Sigma` may only be used in\ntransformed data and generated quantities blocks.\n;
wishart_cholesky_lpdf;(matrix L_W | real nu, matrix L_S);real;Return the log of the Wishart density for lower-triangular Cholesky factor `L_W`\ngiven degrees of freedom `nu` and lower-triangular Cholesky factor of the\nscale matrix `L_S`.\n;
wishart_cholesky_lupdf;(matrix L_W | real nu, matrix L_S);real;Return the log of the Wishart density for lower-triangular Cholesky factor of `L_W`\ngiven degrees of freedom `nu` and lower-triangular Cholesky factor of the\nscale matrix `L_S` dropping constant additive terms.\n;
wishart_cholesky_rng;(real nu, matrix L_S);matrix;Generate the Cholesky factor of a Wishart variate with degrees of freedom `nu` and\nlower-triangular Cholesky factor of the scale matrix `L_S` may only be used in\ntransformed data and generated quantities blocks\n;
inv_wishart;~;real;Increment target log probability density with `inv_wishart_lupdf(W | nu, Sigma)`.;
inv_wishart_lpdf;(matrix W | real nu, matrix Sigma);real;Return the log of the inverse Wishart density for symmetric and\npositive-definite matrix `W` given degrees of freedom `nu` and symmetric\nand positive-definite scale matrix `Sigma`.\n;
inv_wishart_lupdf;(matrix W | real nu, matrix Sigma);real;Return the log of the inverse Wishart density for symmetric and\npositive-definite matrix `W` given degrees of freedom `nu` and symmetric\nand positive-definite scale matrix `Sigma` dropping constant additive terms.\n;
inv_wishart_rng;(real nu, matrix Sigma);matrix;Generate an inverse Wishart variate with degrees of freedom `nu` and\nsymmetric and positive-definite scale matrix `Sigma` may only be used\nin transformed data and generated quantities blocks.\n;
inv_wishart_cholesky_lpdf;(matrix L_W | real nu, matrix L_S);real;Return the log of the inverse Wishart density for lower-triangular Cholesky factor `L_W`\ngiven degrees of freedom `nu` and lower-triangular Cholesky factor of the\nscale matrix `L_S`.\n;
inv_wishart_cholesky_lupdf;(matrix L_W | real nu, matrix L_S);real;Return the log of the inverse Wishart density for lower-triangular Cholesky factor of `L_W`\ngiven degrees of freedom `nu` and lower-triangular Cholesky factor of the\nscale matrix `L_S` dropping constant additive terms.\n;
inv_wishart_cholesky_rng;(real nu, matrix L_S);matrix;Generate the Cholesky factor of an inverse Wishart variate with degrees of freedom `nu` and\nlower-triangular Cholesky factor of the scale matrix `L_S` may only be used in\ntransformed data and generated quantities blocks.\n;
multi_normal;~;real;Increment target log probability density with `multi_normal_lupdf(y | mu, Sigma)`.;
multi_normal_lpdf;(vectors y | vectors mu, matrix Sigma);real;The log of the multivariate normal density of vector(s) y given\nlocation vector(s) mu and covariance matrix Sigma\n;
multi_normal_lupdf;(vectors y | vectors mu, matrix Sigma);real;The log of the multivariate normal density of vector(s) y given\nlocation vector(s) mu and covariance matrix Sigma dropping constant additive\nterms\n;
multi_normal_lpdf;(vectors y | row_vectors mu, matrix Sigma);real;The log of the multivariate normal density of vector(s) y given\nlocation row vector(s) mu and covariance matrix Sigma\n;
multi_normal_lupdf;(vectors y | row_vectors mu, matrix Sigma);real;The log of the multivariate normal density of vector(s) y given\nlocation row vector(s) mu and covariance matrix Sigma dropping constant additive\nterms\n;
multi_normal_lpdf;(row_vectors y | vectors mu, matrix Sigma);real;The log of the multivariate normal density of row vector(s) y given\nlocation vector(s) mu and covariance matrix Sigma\n;
multi_normal_lupdf;(row_vectors y | vectors mu, matrix Sigma);real;The log of the multivariate normal density of row vector(s) y given\nlocation vector(s) mu and covariance matrix Sigma dropping constant additive\nterms\n;
multi_normal_lpdf;(row_vectors y | row_vectors mu, matrix Sigma);real;The log of the multivariate normal density of row vector(s) y given\nlocation row vector(s) mu and covariance matrix Sigma\n;
multi_normal_lupdf;(row_vectors y | row_vectors mu, matrix Sigma);real;The log of the multivariate normal density of row vector(s) y given\nlocation row vector(s) mu and covariance matrix Sigma dropping constant additive\nterms\nAlthough there is a direct multi-normal RNG function, if more than one\nresult is required, it's much more efficient to Cholesky factor the\ncovariance matrix and call `multi_normal_cholesky_rng`  see section\n[multi-variate normal, cholesky parameterization](#multi-normal-cholesky-fun).\n;
multi_normal_rng;(vector mu, matrix Sigma);vector;Generate a multivariate normal variate with location mu and covariance\nmatrix Sigma may only be used in transformed data and generated quantities blocks\n;
multi_normal_rng;(row_vector mu, matrix Sigma);vector;Generate a multivariate normal variate with location mu and covariance\nmatrix Sigma may only be used in transformed data and generated quantities blocks\n;
